experiment,algorithm,auc,acc,best_alpha,best_div_score,best_div_external,best_div_internal,l,f,m,dim,graph,seed
11,deepWalk,0.8186606143976265,0.78783873099801716,10.0,1.9925920197800255e-05,1.0298101502253273e-05,2.9553738893347237e-05,200,0,diameter,4,exp11_community_seed1_7.dat,2
11,deepWalk,0.81975113021362778,0.76900198281559817,2.75,2.1848366062300032e-05,2.2015579666991638e-05,2.1681152457608425e-05,200,0,diameter,8,exp11_community_seed1_7.dat,2
11,deepWalk,0.807102981474937,0.739920687376074,1.5,1.8597593188684521e-05,1.8329366974943834e-05,1.8865819402425208e-05,200,0,diameter,16,exp11_community_seed1_7.dat,2
11,deepWalk,0.79612549903480245,0.72769332452081958,0.75,2.3182052830830344e-05,2.6362791647747155e-05,2.0001314013913532e-05,200,0,diameter,32,exp11_community_seed1_7.dat,2
11,deepWalk,0.785622697581524,0.71711830799735621,1.0,2.2523227346770896e-05,2.5949650485416628e-05,1.9096804208125164e-05,200,0,diameter,64,exp11_community_seed1_7.dat,2
11,deepWalk,0.77735684324748411,0.70819563780568406,0.75,2.3312359775867487e-05,2.7185118461034904e-05,1.943960109070007e-05,200,0,diameter,128,exp11_community_seed1_7.dat,2
11,deepWalk,0.81854373246361445,0.79114342366159951,9.5,1.3445753548825532e-05,6.3288650569000589e-06,2.0562642040751006e-05,200,0,diameter,4,exp11_community_seed1_7.dat,5
11,deepWalk,0.81847648644551785,0.76536682088565766,2.5,1.6075235754674257e-05,7.3818248589306058e-06,2.4768646650417909e-05,200,0,diameter,8,exp11_community_seed1_7.dat,5
11,deepWalk,0.80748295014479055,0.74603436880370122,1.5,1.6768330892543606e-05,9.7441680882973366e-06,2.3792493696789876e-05,200,0,diameter,16,exp11_community_seed1_7.dat,5
11,deepWalk,0.79828108475171555,0.73017184401850632,1.0,1.8040407395144268e-05,1.1740218466270105e-05,2.4340596324018432e-05,200,0,diameter,32,exp11_community_seed1_7.dat,5
11,deepWalk,0.7862262189903847,0.71695307336417713,0.75,1.8958882003385933e-05,1.3712645513015104e-05,2.4205118493756761e-05,200,0,diameter,64,exp11_community_seed1_7.dat,5
11,deepWalk,0.7753561991272816,0.70736946463978845,0.5,1.8701295712912961e-05,1.3121940152394668e-05,2.4280651273431253e-05,200,0,diameter,128,exp11_community_seed1_7.dat,5
11,deepWalk,0.8228010360965049,0.78998678122934562,9.0,1.4841647314878198e-05,2.225139483469459e-06,2.7458155146286938e-05,200,0,diameter,4,exp11_community_seed1_7.dat,11
11,deepWalk,0.82048851570154946,0.76288830138797092,2.5,1.2875542094050646e-05,5.734889420888918e-06,2.0016194767212374e-05,200,0,diameter,8,exp11_community_seed1_7.dat,11
11,deepWalk,0.81053555897358387,0.7415730337078652,1.5,1.1198138767145432e-05,5.85841556063954e-06,1.6537861973651325e-05,200,0,diameter,16,exp11_community_seed1_7.dat,11
11,deepWalk,0.80119248513325136,0.72918043621943163,0.75,1.144267483003415e-05,4.9183631511230028e-06,1.7966986508945297e-05,200,0,diameter,32,exp11_community_seed1_7.dat,11
11,deepWalk,0.79369276580278691,0.719762062128222,0.75,1.1751609182585937e-05,5.3477491937911132e-06,1.815546917138076e-05,200,0,diameter,64,exp11_community_seed1_7.dat,11
11,deepWalk,0.78548045163987446,0.71232650363516192,0.5,1.1904825085744532e-05,5.6996571736413659e-06,1.8109992997847698e-05,200,0,diameter,128,exp11_community_seed1_7.dat,11
11,deepWalk,0.81376792735704528,0.78949107732980828,0.25,2.8032598033353008e-05,3.5750499994945107e-05,2.0314696071760909e-05,200,0,diameter,4,exp11_community_seed1_7.dat,3
11,deepWalk,0.81140380526732625,0.75908790482485133,0.25,2.9363951467330945e-05,3.8395417507271777e-05,2.0332485427390112e-05,200,0,diameter,8,exp11_community_seed1_7.dat,3
11,deepWalk,0.80590879812718064,0.74058162590879051,1.5,2.2331269932279566e-05,2.3722326208516038e-05,2.0940213656043093e-05,200,0,diameter,16,exp11_community_seed1_7.dat,3
11,deepWalk,0.79787482378976837,0.73017184401850632,1.0,2.2352761841526969e-05,2.3576755186634248e-05,2.1128768496419691e-05,200,0,diameter,32,exp11_community_seed1_7.dat,3
11,deepWalk,0.79213917255563038,0.7219101123595506,0.75,2.2096376931661549e-05,2.3996734664268878e-05,2.0196019199054223e-05,200,0,diameter,64,exp11_community_seed1_7.dat,3
11,deepWalk,0.78048652698861465,0.712491738268341,0.5,2.1810876304394896e-05,2.2695234933887857e-05,2.0926517674901934e-05,200,0,diameter,128,exp11_community_seed1_7.dat,3
11,deepWalk,0.8157788099087484,0.78965631196298747,8.75,2.8444485309257551e-05,4.2028637394999626e-05,1.4860333223515475e-05,200,0,diameter,4,exp11_community_seed1_7.dat,6
11,deepWalk,0.814761956194584,0.76206212822207531,2.75,2.5519927668451558e-05,3.5263270077421572e-05,1.5776585259481543e-05,200,0,diameter,8,exp11_community_seed1_7.dat,6
11,deepWalk,0.81061457236228518,0.74702577660277591,1.25,2.3286983776121852e-05,2.6901284829380668e-05,1.9672682722863036e-05,200,0,diameter,16,exp11_community_seed1_7.dat,6
11,deepWalk,0.800934749684274,0.73149372108393917,0.75,2.3870784348442007e-05,2.6533469290682186e-05,2.1208099406201828e-05,200,0,diameter,32,exp11_community_seed1_7.dat,6
11,deepWalk,0.79020238894550821,0.72207534699272968,0.5,2.538336767167988e-05,3.012844332203355e-05,2.0638292021326209e-05,200,0,diameter,64,exp11_community_seed1_7.dat,6
11,deepWalk,0.779821383873362,0.71083939193654988,3.75,1.4719658411140156e-05,8.480804070678519e-06,2.0958512751601793e-05,200,0,diameter,128,exp11_community_seed1_7.dat,6
11,deepWalk,0.81258097916754946,0.78668208856576338,0.25,2.8019789078890225e-05,3.2209366950228696e-05,2.3830211207551754e-05,200,0,diameter,4,exp11_community_seed1_7.dat,10
11,deepWalk,0.80849024798955427,0.755783212161269,3.0,2.2701452591175514e-05,2.0211745189630986e-05,2.5191159992720037e-05,200,0,diameter,8,exp11_community_seed1_7.dat,10
11,deepWalk,0.80333859688821563,0.73727693324520815,1.25,2.6798725091200823e-05,3.1294326301198859e-05,2.2303123881202788e-05,200,0,diameter,16,exp11_community_seed1_7.dat,10
11,deepWalk,0.79391454388033389,0.72323198942498346,0.5,2.7257308147912772e-05,3.0841473892946448e-05,2.3673142402879096e-05,200,0,diameter,32,exp11_community_seed1_7.dat,10
11,deepWalk,0.78304695393830692,0.71414408460013223,0.5,2.7767472335808e-05,3.1895017795976558e-05,2.363992687563944e-05,200,0,diameter,64,exp11_community_seed1_7.dat,10
11,deepWalk,0.77542699446829833,0.70736946463978845,0.75,2.5139441612649983e-05,2.6799802601808323e-05,2.3479080623491644e-05,200,0,diameter,128,exp11_community_seed1_7.dat,10
11,deepWalk,0.81443427178159411,0.787508261731659,0.25,2.9943917915533762e-05,3.5789730120221273e-05,2.4098105710846251e-05,200,0,diameter,4,exp11_community_seed1_7.dat,4
11,deepWalk,0.81405378436454456,0.76107072042300061,2.5,2.444368395998366e-05,2.3594367532006922e-05,2.52930003879604e-05,200,0,diameter,8,exp11_community_seed1_7.dat,4
