experiment,algorithm,beta,best_alpha,best_div_score,best_div_external,best_div_internal,dim,l,f,m,graph_seed,iter,alg_duration,cge_duration
3,deepWalk,1.6,2,0.0063193312689719221,0.0071795860632935674,0.0054590764746502776,128,200,0,diameter,exp3_network_seed55_param1_6.dat,1607665513,00:07:18.411650,00:00:10.839381
3,deepWalk,1.6,2,0.00787233243419878,0.009445636145046005,0.0062990287233515574,128,200,0,diameter,exp3_network_seed56_param1_6.dat,1607665513,00:07:19.898274,00:00:10.843500
3,deepWalk,1.6,1.75,0.00942750889496053,0.0091349215950568032,0.0097200961948642559,128,200,0,diameter,exp3_network_seed57_param1_6.dat,1607665513,00:07:16.524604,00:00:10.833706
3,deepWalk,1.6,1.75,0.0096733843684153088,0.010422492732164937,0.0089242760046656829,128,200,0,diameter,exp3_network_seed58_param1_6.dat,1607665513,00:07:20.889342,00:00:11.098933
3,deepWalk,1.6,1.75,0.010286828458736953,0.012112306186090186,0.0084613507313837169,128,200,0,diameter,exp3_network_seed59_param1_6.dat,1607665513,00:07:19.606383,00:00:10.833312
3,deepWalk,1.1,1.75,0.0036347154839737909,0.0048544382190059011,0.0024149927489416812,128,200,0,diameter,exp3_network_seed5_param1_1.dat,1607665513,00:07:23.001556,00:00:10.995773
3,deepWalk,1.7,1.5,0.009431980861193701,0.00918040839677143,0.0096835533256159727,128,200,0,diameter,exp3_network_seed60_param1_7.dat,1607665513,00:07:18.826105,00:00:10.841003
3,deepWalk,1.7,1.5,0.0097246195634743474,0.0082774174352678257,0.011171821691680871,128,200,0,diameter,exp3_network_seed61_param1_7.dat,1607665513,00:07:17.310748,00:00:10.777726
3,deepWalk,1.7,1.75,0.010513299152322866,0.010564810226132275,0.010461788078513459,128,200,0,diameter,exp3_network_seed62_param1_7.dat,1607665513,00:07:25.290408,00:00:10.927833
3,deepWalk,1.7,1.75,0.010279259226698331,0.00889707607184734,0.011661442381549321,128,200,0,diameter,exp3_network_seed63_param1_7.dat,1607665513,00:07:22.700173,00:00:10.863057
3,deepWalk,1.7,1.75,0.010322224325158735,0.0083879500704616278,0.01225649857985584,128,200,0,diameter,exp3_network_seed64_param1_7.dat,1607665513,00:07:19.597464,00:00:10.843556
3,deepWalk,1.7,1.5,0.011287099376162797,0.010200627433069537,0.012373571319256059,128,200,0,diameter,exp3_network_seed65_param1_7.dat,1607665513,00:07:18.831079,00:00:11.028301
3,deepWalk,1.7,1.5,0.010320398012453817,0.0099559296519891264,0.010684866372918506,128,200,0,diameter,exp3_network_seed66_param1_7.dat,1607665513,00:07:20.086506,00:00:10.734547
3,deepWalk,1.7,1.75,0.013113502524190985,0.013256152895951926,0.012970852152430042,128,200,0,diameter,exp3_network_seed67_param1_7.dat,1607665513,00:07:21.330099,00:00:10.741996
3,deepWalk,1.7,1.5,0.011833019182145686,0.011601313704244441,0.012064724660046931,128,200,0,diameter,exp3_network_seed68_param1_7.dat,1607665513,00:07:24.205591,00:00:10.900743
3,deepWalk,1.7,1.75,0.00968376182272842,0.00936659720923599,0.010000926436220848,128,200,0,diameter,exp3_network_seed69_param1_7.dat,1607665513,00:07:20.202884,00:00:11.025136
3,deepWalk,1.1,1.75,0.0050385679492041327,0.0053725102214519111,0.0047046256769563534,128,200,0,diameter,exp3_network_seed6_param1_1.dat,1607665513,00:07:16.843679,00:00:11.234413
3,deepWalk,1.8,1.75,0.011133423691129568,0.010913541610762054,0.011353305771497083,128,200,0,diameter,exp3_network_seed70_param1_8.dat,1607665513,00:07:23.095704,00:00:11.014374
3,deepWalk,1.8,1.5,0.012174492485242352,0.012235127710176754,0.012113857260307948,128,200,0,diameter,exp3_network_seed71_param1_8.dat,1607665513,00:07:18.849126,00:00:10.754858
3,deepWalk,1.8,1.5,0.0113641658017785,0.011170310796575387,0.011558020806981616,128,200,0,diameter,exp3_network_seed72_param1_8.dat,1607665513,00:07:16.437428,00:00:10.892853
3,deepWalk,1.8,1.5,0.008964872219043199,0.008667951610693626,0.0092617928273927737,128,200,0,diameter,exp3_network_seed73_param1_8.dat,1607665513,00:07:17.797537,00:00:10.795715
3,deepWalk,1.8,1.5,0.012491777922238049,0.010837620493470463,0.014145935351005634,128,200,0,diameter,exp3_network_seed74_param1_8.dat,1607665513,00:07:19.958209,00:00:10.677586
3,deepWalk,1.8,1.25,0.012292816169535507,0.007834111719251486,0.016751520619819528,128,200,0,diameter,exp3_network_seed75_param1_8.dat,1607665513,00:07:17.549811,00:00:10.596144
3,deepWalk,1.8,1.5,0.010394556325466575,0.0084485082645047189,0.012340604386428431,128,200,0,diameter,exp3_network_seed76_param1_8.dat,1607665513,00:07:21.015972,00:00:10.912592
3,deepWalk,1.8,1.75,0.0104186875368894,0.01193333852730474,0.0089040365464740628,128,200,0,diameter,exp3_network_seed77_param1_8.dat,1607665513,00:07:19.998881,00:00:10.871752
3,deepWalk,1.6,2,0.0063514833802225338,0.00722831974913615,0.0054746470113089165,128,200,0,diameter,exp3_network_seed55_param1_6.dat,1607665982,00:07:34.832890,00:00:11.524301
3,deepWalk,1.6,2,0.0076835759103432519,0.0090914808538546665,0.0062756709668318374,128,200,0,diameter,exp3_network_seed56_param1_6.dat,1607665982,00:07:38.559851,00:00:11.837311
3,deepWalk,1.6,1.75,0.0095289656748827542,0.00930649376993149,0.0097514375798340158,128,200,0,diameter,exp3_network_seed57_param1_6.dat,1607665982,00:07:34.691059,00:00:11.412638
3,deepWalk,1.6,1.75,0.0096732890248099578,0.010444024775198915,0.008902553274421,128,200,0,diameter,exp3_network_seed58_param1_6.dat,1607665982,00:07:31.113570,00:00:11.506884
3,deepWalk,1.6,1.75,0.010187925446178938,0.011934764219984456,0.0084410866723734213,128,200,0,diameter,exp3_network_seed59_param1_6.dat,1607665982,00:07:39.685673,00:00:11.523322
3,deepWalk,1.1,1.75,0.0036792422571045027,0.0049383139733231718,0.0024201705408858332,128,200,0,diameter,exp3_network_seed5_param1_1.dat,1607665982,00:07:34.383330,00:00:11.631681
3,deepWalk,1.7,1.5,0.0094033829042330531,0.0091380267186091449,0.0096687390898569613,128,200,0,diameter,exp3_network_seed60_param1_7.dat,1607665982,00:07:34.001619,00:00:11.369700
3,deepWalk,1.7,1.5,0.0098551669199791591,0.0085556852753870555,0.011154648564571263,128,200,0,diameter,exp3_network_seed61_param1_7.dat,1607665982,00:07:34.517323,00:00:11.417307
3,deepWalk,1.7,1.75,0.0106433740620048,0.010810019467442554,0.010476728656567045,128,200,0,diameter,exp3_network_seed62_param1_7.dat,1607665982,00:07:30.340571,00:00:11.403978
3,deepWalk,1.7,1.5,0.010209218762764857,0.008662929950160889,0.011755507575368824,128,200,0,diameter,exp3_network_seed63_param1_7.dat,1607665982,00:07:34.624235,00:00:11.684949
3,deepWalk,1.7,1.75,0.010442844955390886,0.0086292718128716146,0.012256418097910157,128,200,0,diameter,exp3_network_seed64_param1_7.dat,1607665982,00:07:33.865656,00:00:11.237537
3,deepWalk,1.7,1.5,0.011225097850473861,0.010088217371143822,0.012361978329803899,128,200,0,diameter,exp3_network_seed65_param1_7.dat,1607665982,00:07:36.711256,00:00:11.338157
3,deepWalk,1.7,1.5,0.010272740540875744,0.0098466625921714741,0.010698818489580014,128,200,0,diameter,exp3_network_seed66_param1_7.dat,1607665982,00:07:30.604085,00:00:11.403476
3,deepWalk,1.7,1.75,0.013139102421081355,0.01329581634364262,0.012982388498520091,128,200,0,diameter,exp3_network_seed67_param1_7.dat,1607665982,00:07:32.609823,00:00:11.340079
3,deepWalk,1.7,1.5,0.011897188555509442,0.01168873613845137,0.012105640972567513,128,200,0,diameter,exp3_network_seed68_param1_7.dat,1607665982,00:07:37.642404,00:00:11.396196
3,deepWalk,1.7,1.75,0.0096900412945733864,0.0094042819422406037,0.0099758006469061709,128,200,0,diameter,exp3_network_seed69_param1_7.dat,1607665982,00:07:35.663926,00:00:11.344279
3,deepWalk,1.1,1.75,0.0049363216611131543,0.0051578188497629594,0.0047148244724633491,128,200,0,diameter,exp3_network_seed6_param1_1.dat,1607665982,00:07:32.579587,00:00:11.790032
3,deepWalk,1.8,1.75,0.010922618992279337,0.010509267311939121,0.011335970672619555,128,200,0,diameter,exp3_network_seed70_param1_8.dat,1607665982,00:07:34.250308,00:00:11.139853
3,deepWalk,1.8,1.5,0.012065864302547361,0.011989165684628803,0.01214256292046592,128,200,0,diameter,exp3_network_seed71_param1_8.dat,1607665982,00:07:38.043900,00:00:11.525959
3,deepWalk,1.8,1.5,0.011425813844428645,0.011265275533533164,0.011586352155324126,128,200,0,diameter,exp3_network_seed72_param1_8.dat,1607665982,00:07:39.152709,00:00:11.499269
3,deepWalk,1.8,1.5,0.0089757450617227244,0.0086536994992377041,0.0092977906242077447,128,200,0,diameter,exp3_network_seed73_param1_8.dat,1607665982,00:07:34.141464,00:00:11.404324
3,deepWalk,1.8,1.5,0.012505050288457118,0.010852831334149424,0.014157269242764812,128,200,0,diameter,exp3_network_seed74_param1_8.dat,1607665982,00:07:33.110230,00:00:11.368002
3,deepWalk,1.8,1.25,0.012314581332200203,0.0078743523344658641,0.01675481032993454,128,200,0,diameter,exp3_network_seed75_param1_8.dat,1607665982,00:07:37.227531,00:00:11.106911
3,deepWalk,1.8,1.5,0.010371745916895086,0.0083880738426858024,0.012355417991104369,128,200,0,diameter,exp3_network_seed76_param1_8.dat,1607665982,00:07:34.535057,00:00:11.326697
3,deepWalk,1.8,1.75,0.010532473052483803,0.012100865559662437,0.0089640805453051683,128,200,0,diameter,exp3_network_seed77_param1_8.dat,1607665982,00:07:43.013077,00:00:11.343969
3,deepWalk,1.6,2,0.0062799865653243529,0.0070922400596455512,0.0054677330710031554,128,200,0,diameter,exp3_network_seed55_param1_6.dat,1607665438,00:07:17.144585,00:00:10.886672
3,deepWalk,1.6,2,0.0077453425392271973,0.0092082934155880338,0.0062823916628663608,128,200,0,diameter,exp3_network_seed56_param1_6.dat,1607665438,00:07:14.628065,00:00:10.796219
3,deepWalk,1.6,1.75,0.00942448470093601,0.0091313767994234477,0.00971759260244857,128,200,0,diameter,exp3_network_seed57_param1_6.dat,1607665438,00:07:13.803505,00:00:10.634280
3,deepWalk,1.6,1.75,0.009752882433977518,0.010573796268673049,0.0089319685992819871,128,200,0,diameter,exp3_network_seed58_param1_6.dat,1607665438,00:07:14.489641,00:00:10.716140
3,deepWalk,1.6,1.75,0.01039806735894048,0.01234835069047353,0.00844778402740743,128,200,0,diameter,exp3_network_seed59_param1_6.dat,1607665438,00:07:16.310220,00:00:10.800958
