algorithm,seed,dim,best_div_score,runtime
N2V,0,4,0.003555261317742,628.059271
N2V,0,4,0.0036425158730839,611.53865
N2V,0,8,8.837815861789048e-05,652.952515
N2V,0,8,9.275576432175464e-05,633.380857
N2V,0,16,0.0001935371193604,639.862362
N2V,0,16,0.0001794132176594,653.942715
N2V,0,32,0.0001811548923441,695.868076
N2V,0,32,0.0001704086043115,686.520958
N2V,0,64,0.0001301650669407,745.848923
N2V,0,64,0.0001223523115961,651.682436
N2V,0,128,0.0001130195613137,807.004411
N2V,0,128,0.0001033418401576,712.364241
HOPE,0,4,0.005430183239185,1120.070502
HOPE,0,4,0.005430183239185,1032.316034
HOPE,0,8,0.0027085181594179,1089.936723
HOPE,0,8,0.0027085181594179,1137.214625
HOPE,0,16,0.0023722274887099,1112.790146
HOPE,0,16,0.0023722274887099,1046.284761
HOPE,0,32,0.0031155030175394,1183.858091
HOPE,0,32,0.0031155030175394,1204.694482
HOPE,0,64,0.0029298550199347,1183.071
HOPE,0,64,0.0029298550199347,1268.307609
HOPE,0,128,0.0025570146450785,1295.481822
HOPE,0,128,0.0025570146450785,1380.646943
DeepWalk,0,4,0.0039677187732492,731.159997
DeepWalk,0,4,0.0042812589456472,770.130022
DeepWalk,0,8,0.0011659332129081,1097.180804
DeepWalk,0,8,0.0012670045363772,695.41995
DeepWalk,0,16,0.0016414738810528,1114.4269
DeepWalk,0,16,0.0016902792433679,1096.061517
DeepWalk,0,32,0.0010971557937651,1371.092635
DeepWalk,0,32,0.0011408090651342,1341.262177
DeepWalk,0,64,0.0007465158440222,1640.690293
DeepWalk,0,64,0.0007911881195641,1633.86977
DeepWalk,0,128,0.0004831189230789,2593.238791
DeepWalk,0,128,0.0004757214269532,2604.052808
LINE,0,4,0.0056708921538822,188.198929
LINE,0,4,0.0056708921538822,188.719205
LINE,0,8,0.0033952631861176,202.701296
LINE,0,8,0.0033952631861176,198.468303
LINE,0,16,0.0007042532754673,215.56158
LINE,0,16,0.0007042532754673,216.404668
LINE,0,32,0.0026442814338016,243.668922
LINE,0,32,0.0026442814338016,246.121777
LINE,0,64,0.0008287970547593,329.159588
LINE,0,64,0.0008287970547593,323.297862
LINE,0,128,0.0006226291357473,528.061103
LINE,0,128,0.0006226291357473,531.201233
SDNE,0,4,0.004516340577462,268.89507
SDNE,0,4,0.0044043390740087,232.738742
SDNE,0,8,0.0034415523486658,231.334675
SDNE,0,8,0.0032583593419053,235.764173
SDNE,0,16,0.0050250879396112,240.153011
SDNE,0,16,0.0037702298519461,248.893968
SDNE,0,32,0.0031761856292893,272.80408
SDNE,0,32,0.0029135945021701,246.050118
SDNE,0,64,0.003789572539251,280.028558
SDNE,0,64,0.0035911832999569,272.426266
SDNE,0,128,0.0034802993437241,266.284805
SDNE,0,128,0.0036171695722486,272.12318
VERSE,0,4,0.0037395470219667,718.379885
VERSE,0,4,0.0040688262878347,777.146427
VERSE,0,8,4.189678133990702e-05,644.79079
VERSE,0,8,3.5691334747934126e-05,650.52088
VERSE,0,16,4.685659027436572e-05,701.412583
VERSE,0,16,3.961718506683111e-05,675.834824
VERSE,0,32,7.108547005060329e-05,964.147697
VERSE,0,32,6.296226697953383e-05,956.52528
VERSE,0,64,3.590995547773759e-05,1625.769867
VERSE,0,64,5.93060754838796e-05,1657.335253
VERSE,0,128,0.0001791664803111,2497.869471
VERSE,0,128,0.0002861087148891,2058.087908
N2V,0,4,0.0035564629026725,651.737776
N2V,0,4,0.0035615079087393,696.160271
N2V,0,8,8.16514174810273e-05,649.294967
N2V,0,8,9.106134220172585e-05,657.911168
N2V,0,16,0.0001683284249157,677.142866
N2V,0,16,0.0001729739219252,666.470015
N2V,0,32,0.0001693887186907,641.662859
N2V,0,32,0.0001573213942322,753.112965
