algorithm,dim,seed,acc,best_alpha,best_div_score,best_div_external,best_div_internal,l,f,m
n2v,16,0,0.982,2.75,0.0074195010812101621,0.0040258552044219,0.010813146957998425,200,0,diameter
n2v,16,1,0.9876,2.75,0.0074195010812101621,0.0040258552044219,0.010813146957998425,200,0,diameter
n2v,16,2,0.9836,2.75,0.0074195010812101621,0.0040258552044219,0.010813146957998425,200,0,diameter
n2v,16,3,0.9868,2.75,0.0074195010812101621,0.0040258552044219,0.010813146957998425,200,0,diameter
n2v,16,4,0.9852,2.75,0.0074195010812101621,0.0040258552044219,0.010813146957998425,200,0,diameter
n2v,16,5,0.99,2.75,0.0074195010812101621,0.0040258552044219,0.010813146957998425,200,0,diameter
n2v,16,6,0.9848,2.75,0.0074195010812101621,0.0040258552044219,0.010813146957998425,200,0,diameter
n2v,16,7,0.9912,2.75,0.0074195010812101621,0.0040258552044219,0.010813146957998425,200,0,diameter
n2v,16,8,0.9908,2.75,0.0074195010812101621,0.0040258552044219,0.010813146957998425,200,0,diameter
n2v,16,9,0.9824,2.75,0.0074195010812101621,0.0040258552044219,0.010813146957998425,200,0,diameter
n2v,32,0,0.9864,4.0,0.0012233741059954747,0.00023251448153117202,0.0022142337304597772,200,0,diameter
n2v,32,1,0.9848,4.0,0.0012233741059954747,0.00023251448153117202,0.0022142337304597772,200,0,diameter
n2v,32,2,0.98,4.0,0.0012233741059954747,0.00023251448153117202,0.0022142337304597772,200,0,diameter
n2v,32,3,0.9796,4.0,0.0012233741059954747,0.00023251448153117202,0.0022142337304597772,200,0,diameter
n2v,32,4,0.98,4.0,0.0012233741059954747,0.00023251448153117202,0.0022142337304597772,200,0,diameter
n2v,32,5,0.9844,4.0,0.0012233741059954747,0.00023251448153117202,0.0022142337304597772,200,0,diameter
n2v,32,6,0.9832,4.0,0.0012233741059954747,0.00023251448153117202,0.0022142337304597772,200,0,diameter
n2v,32,7,0.9856,4.0,0.0012233741059954747,0.00023251448153117202,0.0022142337304597772,200,0,diameter
n2v,32,8,0.9856,4.0,0.0012233741059954747,0.00023251448153117202,0.0022142337304597772,200,0,diameter
n2v,32,9,0.9868,4.0,0.0012233741059954747,0.00023251448153117202,0.0022142337304597772,200,0,diameter
n2v,4,0,0.7648,0.5,0.020779464470187369,0.035474140685474408,0.00608478825490033,200,0,diameter
n2v,4,1,0.762,0.5,0.020779464470187369,0.035474140685474408,0.00608478825490033,200,0,diameter
n2v,4,2,0.77,0.5,0.020779464470187369,0.035474140685474408,0.00608478825490033,200,0,diameter
n2v,4,3,0.7596,0.5,0.020779464470187369,0.035474140685474408,0.00608478825490033,200,0,diameter
n2v,4,4,0.7624,0.5,0.020779464470187369,0.035474140685474408,0.00608478825490033,200,0,diameter
n2v,4,5,0.7676,0.5,0.020779464470187369,0.035474140685474408,0.00608478825490033,200,0,diameter
n2v,4,6,0.754,0.5,0.020779464470187369,0.035474140685474408,0.00608478825490033,200,0,diameter
n2v,4,7,0.7768,0.5,0.020779464470187369,0.035474140685474408,0.00608478825490033,200,0,diameter
n2v,4,8,0.7768,0.5,0.020779464470187369,0.035474140685474408,0.00608478825490033,200,0,diameter
