experiment,algorithm,delta_exp,best_alpha,best_div_score,best_div_external,best_div_internal,dim,l,f,m,graph_seed
8,deepWalk,0.25,3,0.00037785087281306693,0.00028574932102419504,0.00046995242460193878,128,200,0,diameter,exp8_network_seed0_param0_25.dat
8,deepWalk,0.3,2.5,0.00031435585922474528,0.00029055243835253712,0.00033815928009695338,128,200,0,diameter,exp8_network_seed10_param0_3.dat
8,deepWalk,0.3,3.25,0.00038663286956019558,0.00029281551636564835,0.00048045022275474276,128,200,0,diameter,exp8_network_seed11_param0_3.dat
8,deepWalk,0.3,2.5,0.00025692135657518693,0.00029402546615854173,0.0002198172469918321,128,200,0,diameter,exp8_network_seed12_param0_3.dat
8,deepWalk,0.3,2.75,0.00034213895488427936,0.00028567643422514695,0.00039860147554341178,128,200,0,diameter,exp8_network_seed13_param0_3.dat
8,deepWalk,0.3,2.75,0.00032352876499226605,0.00019018218770050927,0.00045687534228402288,128,200,0,diameter,exp8_network_seed14_param0_3.dat
8,deepWalk,0.3,2.75,0.00033820566079562834,0.000285468979369665,0.00039094234222159169,128,200,0,diameter,exp8_network_seed15_param0_3.dat
8,deepWalk,0.3,2.5,0.00035422899621829481,0.00025402628059033414,0.00045443171184625548,128,200,0,diameter,exp8_network_seed16_param0_3.dat
8,deepWalk,0.3,2.75,0.00031425118864835289,0.000227184783162025,0.00040131759413468079,128,200,0,diameter,exp8_network_seed17_param0_3.dat
8,deepWalk,0.3,2.5,0.00029754880179358228,0.00031961731842776149,0.00027548028515940313,128,200,0,diameter,exp8_network_seed18_param0_3.dat
8,deepWalk,0.3,2.75,0.00032661581761715539,0.00023003540748119816,0.00042319622775311263,128,200,0,diameter,exp8_network_seed19_param0_3.dat
8,deepWalk,0.25,2.75,0.00028732549620517662,0.00035828984248723918,0.00021636114992311411,128,200,0,diameter,exp8_network_seed1_param0_25.dat
8,deepWalk,0.35,2.5,0.00028767842405303193,0.00025884307139331685,0.00031651377671274695,128,200,0,diameter,exp8_network_seed20_param0_35.dat
8,deepWalk,0.35,2.75,0.00026800261212843517,0.00018299547457075458,0.00035300974968611575,128,200,0,diameter,exp8_network_seed21_param0_35.dat
8,deepWalk,0.35,2.75,0.00029386525923063905,0.00018779751972400251,0.00039993299873727559,128,200,0,diameter,exp8_network_seed22_param0_35.dat
8,deepWalk,0.35,2.5,0.00029887638554649089,0.00028780645319639495,0.00030994631789658689,128,200,0,diameter,exp8_network_seed23_param0_35.dat
8,deepWalk,0.35,2.5,0.00035012091802698363,0.00028916537024395418,0.00041107646581001309,128,200,0,diameter,exp8_network_seed24_param0_35.dat
