experiment,algorithm,best_alpha,best_div_score,best_div_external,best_div_internal,dim,l,f,m,graph,iter,alg_duration,cge_duration
9,DeepWalk,10.0,0.0035092426925130418,0.0046919946116515815,0.0023264907733745017,4,200,0,diameter,airports.edgelist,1721612120,00:00:08.280246,00:00:07.218608
9,DeepWalk,10.0,0.0041903827827887343,0.0050627251900531665,0.0033180403755243022,8,200,0,diameter,airports.edgelist,1721612120,00:00:09.723911,00:00:07.488279
9,DeepWalk,10.0,0.003779303851474194,0.0043677219139379225,0.0031908857890104655,16,200,0,diameter,airports.edgelist,1721612120,00:00:09.382020,00:00:07.352765
9,DeepWalk,10.0,0.0030608459289857845,0.0032120424650763585,0.0029096493928952106,32,200,0,diameter,airports.edgelist,1721612120,00:00:11.021286,00:00:07.111519
9,DeepWalk,10.0,0.0030030603169042954,0.0028488205010166671,0.0031573001327919233,64,200,0,diameter,airports.edgelist,1721612120,00:00:10.380420,00:00:07.173850
9,DeepWalk,10.0,0.0033770787814243757,0.0032850142861135237,0.0034691432767352277,128,200,0,diameter,airports.edgelist,1721612120,00:00:16.499831,00:00:07.714266
9,DeepWalk,10.0,0.0036170209265682018,0.0047057250585563004,0.0025283167945801036,4,200,0,diameter,airports.edgelist,1721612152,00:00:06.051458,00:00:06.784506
9,DeepWalk,10.0,0.00358932675330992,0.0039935298636126623,0.0031851236430071781,8,200,0,diameter,airports.edgelist,1721612152,00:00:06.339161,00:00:06.821326
9,DeepWalk,10.0,0.0036360451536616425,0.0041485313197930944,0.0031235589875301902,16,200,0,diameter,airports.edgelist,1721612152,00:00:06.378016,00:00:06.871350
9,DeepWalk,10.0,0.0032424630504349688,0.0033140662010370673,0.00317085989983287,32,200,0,diameter,airports.edgelist,1721612152,00:00:06.373701,00:00:06.938790
9,DeepWalk,10.0,0.00324528384661834,0.0031088684960395882,0.0033816991971970917,64,200,0,diameter,airports.edgelist,1721612152,00:00:09.272991,00:00:07.168857
9,DeepWalk,10.0,0.0028467814872084451,0.0024872476036988654,0.0032063153707180244,128,200,0,diameter,airports.edgelist,1721612152,00:00:10.370474,00:00:07.449128
9,DeepWalk,10.0,0.0040070082367480555,0.0053905506045730262,0.0026234658689230843,4,200,0,diameter,airports.edgelist,1721612117,00:00:06.439851,00:00:07.089612
9,DeepWalk,10.0,0.0037369856584114863,0.0044746291711454363,0.0029993421456775363,8,200,0,diameter,airports.edgelist,1721612117,00:00:07.246519,00:00:07.202501
9,DeepWalk,10.0,0.0033019697685395992,0.0036556099597501589,0.0029483295773290396,16,200,0,diameter,airports.edgelist,1721612117,00:00:08.680301,00:00:07.285497
9,DeepWalk,10.0,0.0035601102436784464,0.0038362110136447008,0.0032840094737121919,32,200,0,diameter,airports.edgelist,1721612117,00:00:07.362631,00:00:07.219448
