experiment,algorithm,best_alpha,best_div_score,best_div_external,best_div_internal,dim,l,f,m,graph,iter,alg_duration,cge_duration
9,DeepWalk,6.0,0.0093789577146103711,0.0114355630553459,0.0073223523738748415,4,200,0,diameter,email-eu.edgelist,1721612152,00:00:13.189405,00:00:07.225695
9,DeepWalk,10.0,0.0024958057512070738,0.0018978634136023618,0.0030937480888117859,8,200,0,diameter,email-eu.edgelist,1721612152,00:00:14.466230,00:00:06.831042
9,DeepWalk,9.0,0.0033097961912081655,0.0019809497655780993,0.0046386426168382316,16,200,0,diameter,email-eu.edgelist,1721612152,00:00:16.275621,00:00:06.941730
9,DeepWalk,9.75,0.00401309059667849,0.0021026737319609938,0.0059235074613959854,32,200,0,diameter,email-eu.edgelist,1721612152,00:00:13.827612,00:00:06.947936
9,DeepWalk,10.0,0.0051618086178331262,0.0018860895998078961,0.0084375276358583558,64,200,0,diameter,email-eu.edgelist,1721612152,00:00:19.877681,00:00:07.140547
9,DeepWalk,10.0,0.0040496172077610984,0.0021045725160122718,0.0059946618995099258,128,200,0,diameter,email-eu.edgelist,1721612152,00:00:26.480042,00:00:07.453061
9,DeepWalk,5.25,0.0096080293144260066,0.01093749903463951,0.0082785595942125017,4,200,0,diameter,email-eu.edgelist,1721612164,00:00:12.660166,00:00:07.146410
9,DeepWalk,10.0,0.0023355262389666643,0.0018744026734078822,0.0027966498045254467,8,200,0,diameter,email-eu.edgelist,1721612164,00:00:14.113577,00:00:07.072408
9,DeepWalk,8.5,0.0030883568874467086,0.0018181820007152265,0.0043585317741781909,16,200,0,diameter,email-eu.edgelist,1721612164,00:00:15.279040,00:00:07.053714
9,DeepWalk,10.0,0.0042902902650601062,0.0023204122127637558,0.0062601683173564571,32,200,0,diameter,email-eu.edgelist,1721612164,00:00:23.652853,00:00:07.213864
9,DeepWalk,10.0,0.0045797974359119073,0.0016833316134163083,0.0074762632584075067,64,200,0,diameter,email-eu.edgelist,1721612164,00:00:21.475790,00:00:07.393277
9,DeepWalk,10.0,0.0037853315272438877,0.0012750045074717054,0.00629565854701607,128,200,0,diameter,email-eu.edgelist,1721612164,00:00:35.928210,00:00:08.058188
9,DeepWalk,5.75,0.01053037398537748,0.012579232215133487,0.0084815157556214753,4,200,0,diameter,email-eu.edgelist,1721612123,00:00:14.570046,00:00:07.192180
9,DeepWalk,10.0,0.0023943038943803358,0.0018037438594357691,0.002984863929324903,8,200,0,diameter,email-eu.edgelist,1721612123,00:00:14.425176,00:00:07.166798
9,DeepWalk,8.25,0.0033952509586843592,0.0019779957176890009,0.0048125061996797175,16,200,0,diameter,email-eu.edgelist,1721612123,00:00:15.443469,00:00:07.221600
9,DeepWalk,10.0,0.0041811628041499493,0.0023281471618385786,0.00603417844646132,32,200,0,diameter,email-eu.edgelist,1721612123,00:00:15.096314,00:00:07.336045
9,DeepWalk,10.0,0.004885017380406074,0.0018046184815207198,0.007965416279291428,64,200,0,diameter,email-eu.edgelist,1721612123,00:00:20.348019,00:00:07.475474
9,DeepWalk,10.0,0.0037558046862091569,0.0013276981721828548,0.0061839112002354587,128,200,0,diameter,email-eu.edgelist,1721612123,00:00:25.112702,00:00:07.763538
9,DeepWalk,5.25,0.00890494739720052,0.010326754413905263,0.0074831403804957774,4,200,0,diameter,email-eu.edgelist,1721612120,00:00:18.621596,00:00:07.064633
9,DeepWalk,10.0,0.0026588753408689214,0.0022028261481496355,0.0031149245335882077,8,200,0,diameter,email-eu.edgelist,1721612120,00:00:18.224235,00:00:07.095794
9,DeepWalk,10.0,0.0030365422906543042,0.0017475658948530456,0.004325518686455563,16,200,0,diameter,email-eu.edgelist,1721612120,00:00:24.330091,00:00:07.120864
9,DeepWalk,8.75,0.0040851297947345541,0.0022585077821913784,0.0059117518072777289,32,200,0,diameter,email-eu.edgelist,1721612120,00:00:25.212681,00:00:07.178930
9,DeepWalk,10.0,0.0049928929322566049,0.0021556808508851107,0.007830105013628099,64,200,0,diameter,email-eu.edgelist,1721612120,00:00:25.543381,00:00:07.476889
9,DeepWalk,10.0,0.0043198803506955472,0.0015009884332347744,0.007138772268156319,128,200,0,diameter,email-eu.edgelist,1721612120,00:00:47.956465,00:00:08.900138
9,DeepWalk,6.25,0.0088945034872110786,0.010606044437280061,0.0071829625371420966,4,200,0,diameter,email-eu.edgelist,1721612162,00:00:14.515117,00:00:07.024973
9,DeepWalk,10.0,0.0025979661897769556,0.0020520801622340716,0.0031438522173198396,8,200,0,diameter,email-eu.edgelist,1721612162,00:00:16.690109,00:00:07.149538
9,DeepWalk,7.75,0.0033899651594417315,0.0021747062871106762,0.0046052240317727864,16,200,0,diameter,email-eu.edgelist,1721612162,00:00:16.184072,00:00:07.246321
9,DeepWalk,10.0,0.0036730339512728075,0.0016398325599484814,0.0057062353425971334,32,200,0,diameter,email-eu.edgelist,1721612162,00:00:16.726874,00:00:07.509503
9,DeepWalk,10.0,0.0051236378055770568,0.0016145035307569247,0.00863277208039719,64,200,0,diameter,email-eu.edgelist,1721612162,00:00:19.336592,00:00:07.462470
9,DeepWalk,10.0,0.0043908741368862431,0.0017942236600105277,0.0069875246137619581,128,200,0,diameter,email-eu.edgelist,1721612162,00:00:26.677557,00:00:07.882014
9,DeepWalk,6.75,0.0083617011223423559,0.0097437713604322448,0.0069796308842524661,4,200,0,diameter,email-eu.edgelist,1721612117,00:00:13.944479,00:00:07.317953
9,DeepWalk,10.0,0.0023108073641366651,0.0018242323303391008,0.0027973823979342296,8,200,0,diameter,email-eu.edgelist,1721612117,00:00:17.333214,00:00:07.145723
9,DeepWalk,8.5,0.0029503028807842525,0.0018842859217296322,0.0040163198398388729,16,200,0,diameter,email-eu.edgelist,1721612117,00:00:19.816230,00:00:08.319223
9,DeepWalk,9.5,0.00407224664723916,0.0023970565281195714,0.0057474367663587489,32,200,0,diameter,email-eu.edgelist,1721612117,00:00:15.051028,00:00:07.309601
9,DeepWalk,10.0,0.0055788016536371674,0.0017256823828960251,0.00943192092437831,64,200,0,diameter,email-eu.edgelist,1721612117,00:00:18.007228,00:00:07.538275
9,DeepWalk,10.0,0.0042434943478972089,0.0015788579150436165,0.006908130780750801,128,200,0,diameter,email-eu.edgelist,1721612117,00:00:28.765354,00:00:07.871082
9,DeepWalk,6.5,0.011163304064902929,0.013146255257353408,0.00918035287245245,4,200,0,diameter,email-eu.edgelist,1721612163,00:00:13.355463,00:00:09.416444
9,DeepWalk,10.0,0.0023312092097890879,0.0019163806625003214,0.0027460377570778546,8,200,0,diameter,email-eu.edgelist,1721612163,00:00:15.262135,00:00:07.335392
9,DeepWalk,10.0,0.0028064080951375019,0.0014270954158735571,0.0041857207744014462,16,200,0,diameter,email-eu.edgelist,1721612163,00:00:15.967456,00:00:07.344221
9,DeepWalk,9.75,0.0038932918178895565,0.0021302816821044111,0.0056563019536747024,32,200,0,diameter,email-eu.edgelist,1721612163,00:00:16.872432,00:00:07.215481
9,DeepWalk,10.0,0.0046710050091259021,0.0016128114218425097,0.0077291985964092948,64,200,0,diameter,email-eu.edgelist,1721612163,00:00:19.445341,00:00:07.509256
9,DeepWalk,10.0,0.0039690928927307162,0.001713948072467034,0.0062242377129943984,128,200,0,diameter,email-eu.edgelist,1721612163,00:00:27.494646,00:00:07.873635
9,DeepWalk,6.75,0.0079239759444372972,0.0088067939031645365,0.0070411579857100571,4,200,0,diameter,email-eu.edgelist,1721612176,00:00:13.508667,00:00:07.216280
9,DeepWalk,10.0,0.002576989161562993,0.0018816648533164216,0.0032723134698095643,8,200,0,diameter,email-eu.edgelist,1721612176,00:00:13.060681,00:00:07.194882
9,DeepWalk,9.0,0.0031844210692951267,0.0016541213320607705,0.0047147208065294825,16,200,0,diameter,email-eu.edgelist,1721612176,00:00:16.828256,00:00:07.189642
9,DeepWalk,10.0,0.0043044072920112924,0.0027710452553683855,0.0058377693286542,32,200,0,diameter,email-eu.edgelist,1721612176,00:00:14.924608,00:00:07.240782
9,DeepWalk,10.0,0.0043614824319606581,0.0020581772232938882,0.0066647876406274289,64,200,0,diameter,email-eu.edgelist,1721612176,00:00:17.870934,00:00:08.660545
9,DeepWalk,10.0,0.004317330699990388,0.0018173612985078213,0.0068173001014729551,128,200,0,diameter,email-eu.edgelist,1721612176,00:00:27.386846,00:00:07.942959
9,DeepWalk,6.75,0.010315499685877761,0.011506789522446485,0.0091242098493090375,4,200,0,diameter,email-eu.edgelist,1721612188,00:00:15.641002,00:00:08.017254
9,DeepWalk,10.0,0.0022251130120087958,0.0018070945006252856,0.0026431315233923064,8,200,0,diameter,email-eu.edgelist,1721612188,00:00:15.174599,00:00:07.105546
9,DeepWalk,9.5,0.0032831048610788552,0.0018691289388209403,0.00469708078333677,16,200,0,diameter,email-eu.edgelist,1721612188,00:00:15.942514,00:00:08.060339
9,DeepWalk,10.0,0.0042823822824733428,0.00211565941735546,0.0064491051475912258,32,200,0,diameter,email-eu.edgelist,1721612188,00:00:15.740993,00:00:08.148898
9,DeepWalk,10.0,0.0048684699941440694,0.002215374639898249,0.00752156534838989,64,200,0,diameter,email-eu.edgelist,1721612188,00:00:21.831878,00:00:07.240556
9,DeepWalk,10.0,0.0043423165563799037,0.0013894419757774254,0.0072951911369823824,128,200,0,diameter,email-eu.edgelist,1721612188,00:00:27.489718,00:00:07.764101
9,DeepWalk,5.5,0.00936797812290155,0.010753645270722118,0.0079823109750809841,4,200,0,diameter,email-eu.edgelist,1721612168,00:00:15.275325,00:00:07.162602
9,DeepWalk,10.0,0.0023801344603588022,0.0019576657134898509,0.0028026032072277535,8,200,0,diameter,email-eu.edgelist,1721612168,00:00:13.793342,00:00:07.246575
9,DeepWalk,8.75,0.0032577977627449538,0.0020173639649765955,0.0044982315605133121,16,200,0,diameter,email-eu.edgelist,1721612168,00:00:16.506580,00:00:07.134581
9,DeepWalk,9.25,0.0039666143414971581,0.0018747383427375104,0.0060584903402568051,32,200,0,diameter,email-eu.edgelist,1721612168,00:00:18.075432,00:00:07.299057
9,DeepWalk,10.0,0.004028741553869692,0.0019491888490977525,0.0061082942586416318,64,200,0,diameter,email-eu.edgelist,1721612168,00:00:19.735923,00:00:07.390553
9,DeepWalk,10.0,0.0042238529782971865,0.0015710053870437593,0.0068767005695506127,128,200,0,diameter,email-eu.edgelist,1721612168,00:00:24.348362,00:00:07.835608
9,DeepWalk,6.25,0.0090081219119537946,0.010798879794037215,0.0072173640298703757,4,200,0,diameter,email-eu.edgelist,1721612177,00:00:14.363767,00:00:07.016561
9,DeepWalk,10.0,0.0024185178268931657,0.0018692654589635661,0.0029677701948227653,8,200,0,diameter,email-eu.edgelist,1721612177,00:00:16.340838,00:00:07.039867
9,DeepWalk,10.0,0.0030861454996646462,0.0017038586285260165,0.0044684323708032757,16,200,0,diameter,email-eu.edgelist,1721612177,00:00:20.631368,00:00:08.312838
9,DeepWalk,10.0,0.0036467755877498047,0.0018900745067060177,0.0054034766687935916,32,200,0,diameter,email-eu.edgelist,1721612177,00:00:17.889920,00:00:08.379995
9,DeepWalk,10.0,0.0050090268244665382,0.0014856775914884094,0.0085323760574446666,64,200,0,diameter,email-eu.edgelist,1721612177,00:00:19.914880,00:00:07.338484
9,DeepWalk,10.0,0.003976768513778586,0.0014614541127584352,0.0064920829147987373,128,200,0,diameter,email-eu.edgelist,1721612177,00:00:23.984245,00:00:07.684322
9,DeepWalk,5.75,0.0088316347593717179,0.010256741062903273,0.0074065284558401641,4,200,0,diameter,email-eu.edgelist,1721612128,00:00:13.816273,00:00:06.716220
9,DeepWalk,10.0,0.0025097131818113856,0.0020680012631196453,0.0029514251005031264,8,200,0,diameter,email-eu.edgelist,1721612128,00:00:12.714509,00:00:06.852695
9,DeepWalk,10.0,0.0034055842568724349,0.0016572427767646873,0.0051539257369801828,16,200,0,diameter,email-eu.edgelist,1721612128,00:00:15.248198,00:00:06.899093
9,DeepWalk,10.0,0.0039500226344038264,0.0020355293277277155,0.0058645159410799369,32,200,0,diameter,email-eu.edgelist,1721612128,00:00:15.910689,00:00:07.110533
9,DeepWalk,10.0,0.005332233685124318,0.0020260749787827017,0.0086383923914659343,64,200,0,diameter,email-eu.edgelist,1721612128,00:00:26.349392,00:00:07.048436
9,DeepWalk,10.0,0.0035634836433151929,0.0014183954663712958,0.00570857182025909,128,200,0,diameter,email-eu.edgelist,1721612128,00:00:29.067248,00:00:07.696667
9,DeepWalk,5.5,0.0082884738830431709,0.0091522934944104385,0.0074246542716759024,4,200,0,diameter,email-eu.edgelist,1721612196,00:00:12.909688,00:00:07.097689
9,DeepWalk,10.0,0.0022516391638873179,0.0019040112831053642,0.0025992670446692719,8,200,0,diameter,email-eu.edgelist,1721612196,00:00:15.439189,00:00:07.280513
9,DeepWalk,9.5,0.002916532860385017,0.0017255888453666446,0.0041074768754033892,16,200,0,diameter,email-eu.edgelist,1721612196,00:00:19.074701,00:00:07.332991
9,DeepWalk,10.0,0.0039339616982938894,0.0020723674830508024,0.0057955559135369769,32,200,0,diameter,email-eu.edgelist,1721612196,00:00:16.005046,00:00:07.421799
9,DeepWalk,10.0,0.0051220657174550436,0.0016159144564208657,0.0086282169784892213,64,200,0,diameter,email-eu.edgelist,1721612196,00:00:23.514096,00:00:07.413112
9,DeepWalk,10.0,0.0041532091613827411,0.0017536673414728504,0.0065527509812926318,128,200,0,diameter,email-eu.edgelist,1721612196,00:00:27.402240,00:00:07.909797
9,DeepWalk,5.75,0.0097134656975244212,0.011489268694208885,0.0079376627008399588,4,200,0,diameter,email-eu.edgelist,1721612224,00:00:14.563198,00:00:09.664413
9,DeepWalk,10.0,0.0022615883309878193,0.0017286226451527812,0.0027945540168228572,8,200,0,diameter,email-eu.edgelist,1721612224,00:00:16.418012,00:00:09.583660
9,DeepWalk,9.0,0.0031099928529326969,0.0017462268596298367,0.0044737588462355569,16,200,0,diameter,email-eu.edgelist,1721612224,00:00:16.635029,00:00:09.072334
