experiment,algorithm,best_alpha,best_div_score,best_div_external,best_div_internal,dim,l,f,m,graph,iter,alg_duration,cge_duration
9,DeepWalk,10.0,0.018776491250673467,0.024687698145342454,0.012865284356004479,4,200,0,diameter,github.edgelist,1721612120,00:13:59.660237,00:00:07.513315
9,DeepWalk,10.0,0.016115192774406036,0.016153639889368854,0.016076745659443219,8,200,0,diameter,github.edgelist,1721612120,00:17:05.028381,00:00:09.276176
9,DeepWalk,10.0,0.017498375564289223,0.015547749480356213,0.01944900164822223,16,200,0,diameter,github.edgelist,1721612120,00:17:52.078245,00:00:08.277374
9,DeepWalk,10.0,0.018673247581064659,0.01721053940865944,0.020135955753469877,32,200,0,diameter,github.edgelist,1721612120,00:19:35.087131,00:00:09.533689
9,DeepWalk,10.0,0.020530997783464535,0.020620558327608826,0.020441437239320244,64,200,0,diameter,github.edgelist,1721612120,00:22:31.669872,00:00:10.202565
9,DeepWalk,10.0,0.023035673273783176,0.025305166897964516,0.020766179649601833,128,200,0,diameter,github.edgelist,1721612120,00:30:33.541542,00:00:13.056062
9,DeepWalk,10.0,0.017738528462363096,0.022067973062841865,0.013409083861884325,4,200,0,diameter,github.edgelist,1721612152,00:11:32.828429,00:00:07.094419
9,DeepWalk,10.0,0.016279760072020776,0.01600048971699811,0.016559030427043441,8,200,0,diameter,github.edgelist,1721612152,00:12:24.320900,00:00:07.189414
9,DeepWalk,10.0,0.017378610855287711,0.015559388461728683,0.019197833248846736,16,200,0,diameter,github.edgelist,1721612152,00:13:32.376140,00:00:07.437823
9,DeepWalk,10.0,0.017757969774163496,0.01585150218702169,0.0196644373613053,32,200,0,diameter,github.edgelist,1721612152,00:14:43.924339,00:00:07.922758
9,DeepWalk,10.0,0.020260219275761542,0.02018386554233325,0.02033657300918983,64,200,0,diameter,github.edgelist,1721612152,00:15:38.015924,00:00:08.979665
9,DeepWalk,10.0,0.022911988472234406,0.025150886942401675,0.020673090002067133,128,200,0,diameter,github.edgelist,1721612152,00:20:10.574200,00:00:11.838187
9,DeepWalk,10.0,0.018465992605157775,0.023518355224154321,0.013413629986161227,4,200,0,diameter,github.edgelist,1721612164,00:11:39.215576,00:00:07.552595
9,DeepWalk,10.0,0.015909293939075024,0.015363585029257564,0.01645500284889248,8,200,0,diameter,github.edgelist,1721612164,00:12:59.029775,00:00:07.702920
9,DeepWalk,10.0,0.017336517428225371,0.015201219549828294,0.01947181530662245,16,200,0,diameter,github.edgelist,1721612164,00:14:26.320429,00:00:07.948047
9,DeepWalk,10.0,0.017926914054260348,0.015867153214700447,0.019986674893820246,32,200,0,diameter,github.edgelist,1721612164,00:15:29.138091,00:00:08.653592
9,DeepWalk,10.0,0.02051599789771575,0.02064889260774579,0.02038310318768571,64,200,0,diameter,github.edgelist,1721612164,00:17:32.881182,00:00:09.611359
9,DeepWalk,10.0,0.023190254759609161,0.025550011154622482,0.020830498364595839,128,200,0,diameter,github.edgelist,1721612164,00:22:34.651165,00:00:13.307751
9,DeepWalk,10.0,0.018002574043663185,0.022542548305439367,0.013462599781887005,4,200,0,diameter,github.edgelist,1721612168,00:11:23.483063,00:00:07.428765
9,DeepWalk,10.0,0.016987191702956088,0.016719301914678304,0.017255081491233868,8,200,0,diameter,github.edgelist,1721612168,00:12:00.854033,00:00:07.586139
9,DeepWalk,10.0,0.01770841985147802,0.015840733453993831,0.019576106248962208,16,200,0,diameter,github.edgelist,1721612168,00:14:11.689163,00:00:07.847660
9,DeepWalk,10.0,0.018213370555195469,0.016586200680250664,0.019840540430140274,32,200,0,diameter,github.edgelist,1721612168,00:14:27.427673,00:00:08.378396
9,DeepWalk,10.0,0.020185181354667271,0.020070788882886534,0.020299573826448009,64,200,0,diameter,github.edgelist,1721612168,00:15:35.441798,00:00:09.197927
9,DeepWalk,10.0,0.023060773975230736,0.025127628395563543,0.020993919554897933,128,200,0,diameter,github.edgelist,1721612168,00:19:32.370766,00:00:12.879421
9,DeepWalk,10.0,0.01702304485648955,0.022192188753833133,0.011853900959145966,4,200,0,diameter,github.edgelist,1721612123,00:11:34.255812,00:00:07.846556
9,DeepWalk,10.0,0.016440904677138782,0.016138600667509311,0.016743208686768252,8,200,0,diameter,github.edgelist,1721612123,00:12:24.510580,00:00:07.881770
9,DeepWalk,10.0,0.016343326388711304,0.01408912614402341,0.018597526633399197,16,200,0,diameter,github.edgelist,1721612123,00:13:53.654592,00:00:07.930477
9,DeepWalk,10.0,0.018146327253436862,0.016208103632468621,0.020084550874405104,32,200,0,diameter,github.edgelist,1721612123,00:14:25.891695,00:00:08.543488
9,DeepWalk,10.0,0.020378667617716728,0.020433148417562268,0.020324186817871192,64,200,0,diameter,github.edgelist,1721612123,00:15:39.869678,00:00:09.333972
9,DeepWalk,10.0,0.023160128485603792,0.025553080488155515,0.020767176483052069,128,200,0,diameter,github.edgelist,1721612123,00:19:20.490888,00:00:11.461247
9,DeepWalk,10.0,0.018883592965883374,0.024826070067696927,0.01294111586406982,4,200,0,diameter,github.edgelist,1721612162,00:11:36.525381,00:00:07.833607
9,DeepWalk,10.0,0.01708286529603989,0.017134293140667254,0.017031437451412529,8,200,0,diameter,github.edgelist,1721612162,00:12:24.937923,00:00:07.908529
9,DeepWalk,10.0,0.016560854145356511,0.014432880649978129,0.01868882764073489,16,200,0,diameter,github.edgelist,1721612162,00:13:56.932776,00:00:08.061251
9,DeepWalk,10.0,0.018392343436344709,0.016722180311994413,0.020062506560695,32,200,0,diameter,github.edgelist,1721612162,00:14:07.596635,00:00:08.616815
9,DeepWalk,10.0,0.020702320955386933,0.02092197088366551,0.020482671027108355,64,200,0,diameter,github.edgelist,1721612162,00:17:07.715602,00:00:09.468224
9,DeepWalk,10.0,0.023039547884171563,0.025165686858306939,0.02091340891003619,128,200,0,diameter,github.edgelist,1721612162,00:20:09.680524,00:00:11.478738
9,DeepWalk,10.0,0.017219399915540515,0.0218815598110381,0.012557240020042933,4,200,0,diameter,github.edgelist,1721612163,00:12:23.072438,00:00:07.670034
9,DeepWalk,10.0,0.015940003283198438,0.015171320435410498,0.016708686130986382,8,200,0,diameter,github.edgelist,1721612163,00:12:29.434113,00:00:07.849800
9,DeepWalk,10.0,0.017054367893271787,0.015116838119936553,0.01899189766660702,16,200,0,diameter,github.edgelist,1721612163,00:14:15.415997,00:00:09.019116
9,DeepWalk,10.0,0.01855252352354338,0.017014056352829609,0.020090990694257151,32,200,0,diameter,github.edgelist,1721612163,00:15:50.995139,00:00:08.495511
